Speed m/s,Height above Ground (cm),Wind,Vertical,Horizontal
2.67,90,Vertical,0.77,2.67
2.56,90,Vertical,0.07,2.56
1.31,90,Vertical,0.90,1.31
2.36,90,Vertical,0.11,2.36
3.58,90,Vertical,0.54,3.58
3.03,90,Vertical,0.63,3.03
2.11,90,Vertical,0.05,2.11
2.14,90,Vertical,0.13,2.14
2.97,90,Vertical,0.10,2.97
3.22,90,Vertical,0.10,3.22
2.28,90,Vertical,0.08,2.28
1.97,90,Vertical,0.14,1.97
1.67,90,Vertical,0.03,1.67
4.44,90,Vertical,0.39,4.44
1.36,100,Vertical,0.03,1.36
3.47,100,Vertical,0.45,3.47
1.83,100,Vertical,0.04,1.83
1.17,100,Vertical,0.02,1.17
1.42,100,Vertical,0.20,1.42
0.81,100,Vertical,0.04,0.81
2.31,100,Vertical,0.00,2.31
3.25,100,Vertical,0.06,3.25
1.19,100,Vertical,0.36,1.19
2.89,100,Vertical,0.25,2.89
2.72,100,Vertical,0.15,2.72
3.31,100,Vertical,1.28,3.31
3.86,100,Vertical,0.22,3.86
2.83,100,Vertical,0.14,2.83
1.64,100,Vertical,0.10,1.64
2.31,100,Vertical,0.19,2.31
3.08,100,Vertical,0.25,3.08
1.67,100,Vertical,0.01,1.67
4.53,100,Vertical,0.70,4.53
2.97,100,Vertical,0.09,2.97
1.31,110,Vertical,0.02,1.31
3.33,110,Vertical,0.19,3.33
1.28,110,Vertical,0.01,1.28
0.83,110,Vertical,0.02,0.83
0.83,110,Vertical,0.08,0.83
0.61,110,Vertical,0.04,0.61
1.67,110,Vertical,0.02,1.67
1.36,110,Vertical,0.41,1.36
1.17,110,Vertical,0.03,1.17
3.11,110,Vertical,0.68,3.11
2.67,110,Vertical,0.06,2.67
2.28,110,Vertical,0.14,2.28
2.86,110,Vertical,0.22,2.86
1.50,110,Vertical,0.01,1.50
3.25,110,Vertical,0.10,3.25
2.94,110,Vertical,0.13,2.94
2.83,110,Vertical,0.90,2.83
1.53,110,Vertical,0.05,1.53
5.14,110,Vertical,0.43,5.14
2.67,110,Vertical,0.31,2.67
1.33,120,Vertical,0.03,1.33
3.03,120,Vertical,1.01,3.03
2.56,120,Vertical,0.17,2.56
0.50,120,Vertical,0.01,0.50
1.06,120,Vertical,0.02,1.06
0.78,120,Vertical,0.03,0.78
2.28,120,Vertical,0.01,2.28
1.72,120,Vertical,0.13,1.72
2.06,120,Vertical,0.06,2.06
2.44,120,Vertical,0.18,2.44
2.83,120,Vertical,0.41,2.83
2.56,120,Vertical,0.45,2.56
3.56,120,Vertical,0.27,3.56
2.72,120,Vertical,0.09,2.72
2.86,120,Vertical,0.15,2.86
3.08,120,Vertical,0.19,3.08
2.28,120,Vertical,0.10,2.28
1.06,120,Vertical,0.02,1.06
3.94,120,Vertical,0.89,3.94
3.61,120,Vertical,0.36,3.61
1.08,130,Vertical,0.00,1.08
3.64,130,Vertical,1.63,3.64
2.61,130,Vertical,0.24,2.61
0.58,130,Vertical,0.01,0.58
1.08,130,Vertical,0.02,1.08
0.72,130,Vertical,0.05,0.72
3.36,130,Vertical,0.29,3.36
2.28,130,Vertical,0.67,2.28
1.39,130,Vertical,0.03,1.39
3.28,130,Vertical,0.11,3.28
3.28,130,Vertical,0.98,3.28
2.78,130,Vertical,0.32,2.78
3.56,130,Vertical,0.04,3.56
0.97,130,Vertical,0.10,0.97
2.17,130,Vertical,0.17,2.17
2.67,130,Vertical,0.10,2.67
2.36,130,Vertical,0.25,2.36
1.17,130,Vertical,0.03,1.17
3.58,130,Vertical,0.75,3.58
3.92,130,Vertical,0.10,3.92
2.36,140,Vertical,0.08,2.36
3.94,140,Vertical,2.53,3.94
3.03,140,Vertical,0.42,3.03
0.56,140,Vertical,0.01,0.56
1.17,140,Vertical,0.10,1.17
0.64,140,Vertical,0.04,0.64
2.19,140,Vertical,0.25,2.19
2.67,140,Vertical,0.27,2.67
1.44,140,Vertical,0.25,1.44
2.86,140,Vertical,1.12,2.86
3.78,140,Vertical,0.50,3.78
3.19,140,Vertical,1.10,3.19
3.78,140,Vertical,0.10,3.78
1.78,140,Vertical,0.22,1.78
3.92,140,Vertical,0.22,3.92
2.72,140,Vertical,0.19,2.72
3.06,140,Vertical,0.69,3.06
1.28,140,Vertical,0.02,1.28
4.25,140,Vertical,0.50,4.25
1.89,140,Vertical,0.05,1.89
2.50,150,Vertical,0.07,2.50
4.39,150,Vertical,0.32,4.39
3.03,150,Vertical,0.15,3.03
0.58,150,Vertical,0.01,0.58
1.19,150,Vertical,0.02,1.19
0.86,150,Vertical,0.25,0.86
2.75,150,Vertical,0.04,2.75
2.39,150,Vertical,0.53,2.39
1.78,150,Vertical,0.86,1.78
2.44,150,Vertical,0.65,2.44
3.94,150,Vertical,0.67,3.94
3.81,150,Vertical,0.71,3.81
2.39,150,Vertical,0.01,2.39
1.58,150,Vertical,0.29,1.58
2.28,150,Vertical,0.21,2.28
2.75,150,Vertical,0.13,2.75
4.33,150,Vertical,0.76,4.33
0.28,150,Vertical,0.05,0.28
3.83,150,Vertical,0.48,3.83
3.14,150,Vertical,0.10,3.14
2.17,160,Vertical,0.35,2.17
5.47,160,Vertical,2.06,5.47
2.44,160,Vertical,0.31,2.44
0.75,160,Vertical,0.01,0.75
1.28,160,Vertical,0.03,1.28
0.61,160,Vertical,0.07,0.61
2.75,160,Vertical,0.16,2.75
2.72,160,Vertical,0.56,2.72
1.53,160,Vertical,0.12,1.53
3.36,160,Vertical,0.59,3.36
3.19,160,Vertical,1.48,3.19
2.61,160,Vertical,1.00,2.61
2.97,160,Vertical,0.69,2.97
1.67,160,Vertical,0.31,1.67
4.11,160,Vertical,0.57,4.11
3.64,160,Vertical,0.87,3.64
3.00,160,Vertical,0.27,3.00
1.06,160,Vertical,0.01,1.06
3.64,160,Vertical,0.17,3.64
4.14,160,Vertical,0.50,4.14
2.00,170,Vertical,0.04,2.00
5.22,170,Vertical,2.45,5.22
2.86,170,Vertical,0.57,2.86
0.83,170,Vertical,0.00,0.83
1.25,170,Vertical,0.02,1.25
0.78,170,Vertical,0.03,0.78
2.31,170,Vertical,0.25,2.31
2.89,170,Vertical,1.13,2.89
1.86,170,Vertical,1.08,1.86
2.83,170,Vertical,1.92,2.83
2.97,170,Vertical,0.76,2.97
3.86,170,Vertical,0.93,3.86
2.92,170,Vertical,0.90,2.92
1.31,170,Vertical,0.09,1.31
3.08,170,Vertical,0.40,3.08
3.58,170,Vertical,0.71,3.58
2.50,170,Vertical,0.35,2.50
1.83,170,Vertical,0.12,1.83
4.33,170,Vertical,0.60,4.33
4.61,170,Vertical,0.36,4.61
2.44,180,Vertical,0.06,2.44
5.53,180,Vertical,2.11,5.53
1.92,180,Vertical,0.60,1.92
0.33,180,Vertical,0.00,0.33
2.03,180,Vertical,0.18,2.03
0.75,180,Vertical,0.05,0.75
3.06,180,Vertical,0.04,3.06
4.61,180,Vertical,1.70,4.61
2.28,180,Vertical,2.17,2.28
3.08,180,Vertical,1.33,3.08
2.64,180,Vertical,0.77,2.64
4.14,180,Vertical,0.57,4.14
2.89,180,Vertical,0.75,2.89
1.67,180,Vertical,0.14,1.67
3.47,180,Vertical,0.60,3.47
3.19,180,Vertical,0.15,3.19
2.11,180,Vertical,0.26,2.11
1.17,180,Vertical,0.03,1.17
3.25,180,Vertical,0.22,3.25
2.97,180,Vertical,0.38,2.97
2.94,190,Vertical,0.20,2.94
5.56,190,Vertical,3.63,5.56
3.00,190,Vertical,1.67,3.00
1.64,190,Vertical,0.40,1.64
1.61,190,Vertical,0.19,1.61
0.67,190,Vertical,0.06,0.67
0.39,190,Vertical,0.10,0.39
3.11,190,Vertical,1.78,3.11
2.17,190,Vertical,1.88,2.17
3.22,190,Vertical,1.84,3.22
3.56,190,Vertical,0.56,3.56
4.33,190,Vertical,1.24,4.33
1.75,190,Vertical,0.19,1.75
1.97,190,Vertical,0.40,1.97
3.19,190,Vertical,0.60,3.19
3.61,190,Vertical,0.52,3.61
3.19,190,Vertical,0.26,3.19
1.94,190,Vertical,0.34,1.94
4.78,190,Vertical,0.53,4.78
3.72,190,Vertical,0.16,3.72
2.67,200,Vertical,0.20,2.67
4.78,200,Vertical,3.03,4.78
2.94,200,Vertical,0.49,2.94
1.06,200,Vertical,0.04,1.06
1.47,200,Vertical,0.22,1.47
0.86,200,Vertical,0.13,0.86
2.42,200,Vertical,0.25,2.42
3.67,200,Vertical,1.79,3.67
3.00,200,Vertical,3.33,3.00
2.97,200,Vertical,1.75,2.97
3.64,200,Vertical,0.74,3.64
4.28,200,Vertical,0.72,4.28
3.33,200,Vertical,1.20,3.33
